"cluster","start","stop","size"
"chr1A_1",410001,430000,19999
"chr1A_2",1150001,1170000,19999
"chr1A_3",2190001,2220000,29999
"chr1A_4",4680001,4710000,29999
"chr1A_5",5800001,5820000,19999
"chr1A_6",6190001,6210000,19999
"chr1A_7",8800001,8830000,29999
"chr1A_8",9290001,9310000,19999
"chr1A_9",9620001,9650000,29999
"chr1A_10",9830001,9860000,29999
"chr1A_11",10070001,10090000,19999
"chr1A_12",14720001,14750000,29999
"chr1A_13",16730001,16760000,29999
"chr1A_14",16900001,16920000,19999
"chr1A_15",17070001,17120000,49999
"chr1A_16",28140001,28160000,19999
"chr1A_17",28470001,28500000,29999
"chr1A_18",31590001,31610000,19999
"chr1A_19",31700001,31720000,19999
"chr1A_20",34760001,34780000,19999
"chr1A_21",37050001,37170000,119999
"chr1A_22",39080001,39110000,29999
"chr1A_23",39440001,39620000,179999
"chr1A_24",39750001,39780000,29999
"chr1A_25",40140001,40260000,119999
"chr1A_26",47990001,48230000,239999
"chr1A_27",48740001,48790000,49999
"chr1A_28",49150001,49220000,69999
"chr1A_29",49390001,49590000,199999
"chr1A_30",49810001,49860000,49999
"chr1A_31",49950001,50010000,59999
"chr1A_32",50110001,50130000,19999
"chr1A_33",50310001,50330000,19999
"chr1A_34",51460001,51600000,139999
"chr1A_35",52010001,52140000,129999
"chr1A_36",52490001,52650000,159999
"chr1A_37",57520001,57570000,49999
"chr1A_38",57750001,57770000,19999
"chr1A_39",58810001,58830000,19999
"chr1A_40",62830001,62850000,19999
"chr1A_41",63620001,63640000,19999
"chr1A_42",63960001,63980000,19999
"chr1A_43",69400001,69550000,149999
"chr1_1",71920002,71950001,29999
"chr1_2",74370002,74440001,69999
"chr1_3",74590002,74620001,29999
"chr1_4",78830002,78860001,29999
"chr1_5",79270002,79300001,29999
"chr1_6",79790002,79810001,19999
"chr1_7",81960002,81990001,29999
"chr1_8",82890002,83040001,149999
"chr1_9",85030002,85070001,39999
"chr1_10",86610002,86640001,29999
"chr1_11",87060002,87080001,19999
"chr1_12",92920002,92940001,19999
"chr1_13",93880002,93900001,19999
"chr1_14",94000002,94020001,19999
"chr1_15",94890002,94950001,59999
"chr1_16",95690002,95710001,19999
"chr1_17",96220002,96250001,29999
"chr1_18",99000002,99730001,729999
"chr1_19",99840002,100010001,169999
"chr1_20",100120002,100150001,29999
"chr1_21",100620002,100640001,19999
"chr1_22",100760002,100800001,39999
"chr1_23",101050002,101290001,239999
"chr1_24",101770002,101940001,169999
"chr1_25",102900002,102960001,59999
"chr1_26",103110002,103140001,29999
"chr1_27",105290002,105310001,19999
"chr1_28",106150002,106190001,39999
"chr1_29",108350002,108370001,19999
"chr1_30",109130002,109170001,39999
"chr1_31",113410002,113440001,29999
"chr1_32",114200002,114240001,39999
"chr1_33",115500002,115830001,329999
"chr1_34",116830002,116950001,119999
"chr1_35",117280002,117310001,29999
"chr1_36",120040002,120080001,39999
"chr1_37",120280002,120310001,29999
"chr1_38",120750002,120770001,19999
"chr1_39",121200002,121220001,19999
"chr1_40",121890002,121910001,19999
"chr1_41",123490002,123590001,99999
"chr1_42",124010002,124270001,259999
"chr1_43",124390002,124410001,19999
"chr1_44",124640002,124670001,29999
"chr1_45",126000002,126020001,19999
"chr1_46",126500002,126660001,159999
"chr1_47",128400002,128420001,19999
"chr1_48",130260002,130320001,59999
"chr1_49",130850002,130950001,99999
"chr1_50",131120002,131190001,69999
"chr1_51",131380002,131830001,449999
"chr1_52",132210002,132460001,249999
"chr1_53",133460002,133480001,19999
"chr1_54",134250002,134270001,19999
"chr1_55",135230002,135310001,79999
"chr1_56",135990002,136050001,59999
"chr1_57",137140002,137170001,29999
"chr1_58",137490002,137620001,129999
"chr1_59",138680002,138710001,29999
"chr1_60",139210002,139240001,29999
"chr1_61",140450002,140470001,19999
"chr1_62",141300002,141330001,29999
"chr1_63",143900002,143920001,19999
"chr1_64",144900002,145120001,219999
"chr1_65",145330002,145380001,49999
"chr1_66",145880002,145970001,89999
"chr1_67",146770002,146800001,29999
"chr1_68",147010002,147050001,39999
"chr1_69",147140002,147250001,109999
"chr1_70",147600002,147630001,29999
"chr1_71",148530002,148750001,219999
