"cluster","start","stop","size"
"1A_1",-91267,158733,0
"1A_2",217348,561473,94125
"1A_3",530808,780821,13
"1A_4",1023755,1273756,1
"1A_5",1693342,1943346,4
"1A_6",11950462,12200466,4
"1A_7",17125436,17375436,0
"1A_8",19172640,19422660,20
"1A_9",21480992,21731004,12
"1A_10",31475205,31725207,2
"1A_11",31576107,31826131,24
"1A_12",41010316,41260325,9
"1A_13",47217031,47467038,7
"1A_14",49002535,49252539,4
"1A_15",49612698,49864094,1396
"1A_16",49846018,50096020,2
"1A_17",54012668,54262791,123
"1A_18",68071691,68321691,0
"1A_19",69536046,69786046,0
"1_1",70795495,71045507,12
"1_2",73389777,73640186,409
"1_3",74264953,74518030,3077
"1_4",84621332,84871440,108
"1_5",91168220,91418220,0
"1_6",98616424,98866780,356
"1_7",98862216,99112216,0
"1_8",103003594,103253594,0
"1_9",120179257,120429257,0
"1_10",134790785,135040911,126
"1_11",135371227,135621261,34
"1_12",148701809,148952062,253
"1_13",149165607,149415651,44
"1_14",154601909,154851909,0
"1_15",156031239,156281349,110
"1_16",168516453,168766453,0
"1_17",169478179,169728249,70
"1_18",170524984,170775320,336
"1_19",176106307,176369166,12859
"1_20",178298408,178548408,0
"1_21",178986582,179236582,0
"1_22",180532380,180782488,108
"1_23",181912599,182162599,0
"2_1",183422709,183673198,489
"2_2",205833395,206083395,0
"2_3",210053493,210326968,23475
"2_4",210536319,210786319,0
"2_5",210780610,211030610,0
"2_6",215838538,216088673,135
"2_7",230032011,230282011,0
"2_8",231981719,232341905,110186
"2_9",274907387,275157387,0
"2_10",276086246,276336246,0
"2_11",276332886,276583161,275
"2_12",276506639,276756651,12
"2_13",286046482,286297991,1509
"2_14",286718284,286968284,0
"2_15",292735625,292985632,7
"2_16",293364807,293614819,12
"2_17",309090913,309411218,70305
"2_18",315482432,315732468,36
"2_19",317725045,317988876,13831
"2_20",321265686,321515686,0
"3_1",338453029,338703029,0
"3_2",345528380,345778380,0
"3_3",347918881,348168881,0
"3_4",366435635,366685639,4
"3_5",366745014,366995052,38
"3_6",368202971,368452971,0
"3_7",372099401,372349405,4
"3_8",376702993,376953034,41
"3_9",379688728,379938732,4
"3_10",398862177,399112177,0
"3_11",407914425,408174593,10168
"3_12",411271749,411560352,38603
"3_13",419315668,419565668,0
"4_1",442377935,442628977,1042
"4_2",448097390,448347390,0
"4_3",459570534,459820534,0
"4_4",464505730,464755741,11
"4_5",476161324,476411324,0
"4_6",485966372,486216448,76
"4_7",486254012,486504012,0
"4_8",503722736,503972737,1
"4_9",509744493,509994507,14
"4_10",511144196,511394212,16
"4_11",511300116,511550116,0
"4_12",511443161,511693161,0
"5_1",512145557,512395557,0
"5_2",512600381,512850381,0
"5_3",513630095,513880095,0
"5_4",515115458,515365458,0
"5_5",519235267,519522806,37539
"5_6",524422699,524692272,19573
"5_7",533899755,534162131,12376
"5_8",534064873,534314911,38
"5_9",535804350,536054684,334
"5_10",539630312,539891015,10703
"5_11",555381127,555632186,1059
"5_12",556306915,556559141,2226
"5_13",561381737,561631737,0
"6_1",573164420,573414420,0
"6_2",573423718,573673718,0
"6_3",578919480,579178358,8878
"6_4",581232263,581482315,52
"6_5",598641897,598907162,15265
"6_6",601292523,601542590,67
"6_7",603852937,604119198,16261
"6_8",606369452,606619476,24
"6_9",606623300,606873305,5
"7_1",608399646,608649701,55
"7_2",626903424,627161375,7951
"7_3",628267461,628517504,43
"7_4",634667652,634917652,0
"7_5",642347578,642597595,17
"7_6",642754978,643004990,12
"7_7",643131367,643381367,0
"8_1",645594612,645844620,8
"8_2",645782303,646032308,5
"8_3",646453658,646703666,8
"8_4",649362765,649613847,1082
"8_5",649463852,649714702,850
"8_6",655588427,655838488,61
"8_7",666247133,666497195,62
"8_8",669884546,670136852,2306
"8_9",674833808,675083822,14
"8_10",682933472,683183472,0
"8_11",687137793,687387793,0
"8_12",689810348,690060350,2
"8_13",692989517,693239553,36
"8_14",693883564,694133605,41
"9_1",694503592,694753600,8
"9_2",695303778,695553790,12
"9_3",698204665,698454665,0
"9_4",699474930,699725607,677
"9_5",699773905,700023947,42
"9_6",701250592,701500937,345
"9_7",705509121,705759121,0
"9_8",714980308,715230339,31
"9_9",718146428,718396437,9
"10_1",719199659,719449659,0
"10_2",721076418,721442252,115834
"10_3",732488745,732738745,0
"10_4",733617801,733867835,34
"10_5",739074328,739324329,1
"11_1",740533372,740783372,0
"11_2",741694694,741944694,0
"11_3",743052211,743302221,10
"11_4",743300358,743550358,0
"11_5",743450491,743700498,7
"11_6",744593892,744843892,0
"11_7",744728848,744978848,0
"11_8",746129200,746379226,26
"11_9",746297974,746547995,21
"11_10",749818484,750068484,0
"11_11",749952256,750202256,0
"11_12",756067926,756317929,3
"11_13",757684454,757935580,1126
"11_14",758927485,759177485,0
"11_15",759102452,759352457,5
"11_16",759976914,760227145,231
"11_17",760216532,760466563,31
"12_1",762963696,763305810,92114
"12_2",770833324,771083325,1
"12_3",771327933,771577933,0
"12_4",779272751,779522793,42
"12_5",779651109,779901121,12
"12_6",779769707,780040884,21177
"13_1",782070305,782320329,24
"13_2",786865413,787115502,89
"13_3",794253771,794504156,385
"13_4",794494926,794745737,811
"13_5",796741527,796991527,0
"13_6",798427573,798677573,0
"14_1",798626735,798877892,1157
"14_2",799294103,799720677,176574
"14_3",799813007,800291276,228269
"14_4",800454632,800704632,0
"14_5",800836976,801105557,18581
"14_6",803800396,804050448,52
"14_7",806492772,806742772,0
"14_8",812301161,812551161,0
"14_9",813032533,813282534,1
"15_1",817525320,817775353,33
"15_2",822667634,822917712,78
"17_1",828942271,829192306,35
"17_2",829447763,829697763,0
"17_3",830125789,830375806,17
"17_4",830869176,831267129,147953
"17_5",835774973,836024973,0
"17_6",836578342,836844470,16128
"17_7",837238098,837561361,73263
"17_8",839267569,839517569,0
"18_1",840725285,840975285,0
"18_2",841055693,841305693,0
"18_3",842760542,843010542,0
"18_4",845479029,845733013,3984
"18_5",845642897,845901628,8731
"18_6",845925961,846216736,40775
"18_7",847843531,848093547,16
"18_8",849881228,850131230,2
"18_9",851256524,851506539,15
"18_10",851414194,851664215,21
"19_1",851724291,851974303,12
"19_2",855789284,856039284,0
"19_3",855950958,856200962,4
"19_4",860058031,860308096,65
"19_5",860607306,860857313,7
"19_6",862216097,862466274,177
"19_7",862464955,862791982,77027
"20_1",863412546,863662577,31
"20_2",868353841,868603841,0
"20_3",870522365,870772382,17
"20_4",871681870,871931914,44
"20_5",874300615,874550620,5
"20_6",874933865,875183920,55
"20_7",875059002,875309029,27
"20_8",875213697,875463697,0
"20_9",877541557,877791557,0
"21_1",878356793,878606851,58
"21_2",878706301,878956310,9
"21_3",880964750,881214750,0
"21_4",881107259,881440957,83698
"21_5",881541019,881791083,64
"21_6",882402345,882652435,90
"22_1",883343157,883684785,91628
"22_2",883606780,883856780,0
"22_3",883825415,884075424,9
"22_4",884710967,884960974,7
"22_5",885382783,885764540,131757
"22_6",885671074,885921079,5
"22_7",886276706,886526707,1
"23_1",887119945,887369951,6
"23_2",888138883,888517356,128473
"23_3",888601043,888929288,78245
"23_4",889010740,889297959,37219
"23_5",890213840,890463847,7
"23_6",890665641,890915641,0
"23_7",891123653,891456108,82455
"23_8",891841419,892091419,0
"23_9",892158227,892408247,20
"23_10",892465277,892790485,75208
"23_11",893472651,893722651,0
"24_1",894888317,895138317,0
"24_2",895378501,895628560,59
"24_3",895738280,895997085,8805
"24_4",896339891,896645203,55312
"24_5",896565634,896815690,56
"24_6",896896273,897146273,0
"24_7",897311571,897561575,4
"24_8",898394605,898644643,38
"24_9",899169052,899419066,14
"25_1",901166370,901416370,0
"25_2",901372527,901639212,16685
"26_1",902216293,902466293,0
"26_2",902694597,902944606,9
"26_3",903083700,903333700,0
"26_4",904086136,904344688,8552
"26_5",904429284,904780048,100764
"26_6",906401840,906651887,47
"26_7",906849927,907099927,0
"26_8",907000907,907271684,20777
"26_9",907642310,907892321,11
"26_10",907865661,908151777,36116
"26_11",908118951,908372817,3866
"26_12",908451108,908701113,5
"27_1",908630683,908903072,22389
"27_2",909113559,909363559,0
"27_3",909539757,909789757,0
"27_4",910883687,911133687,0
"27_5",911986977,912236977,0
"28_1",913384877,913634913,36
"28_2",913535584,913785584,0
"28_3",914461212,914711212,0
"28_4",915688716,915960974,22258
